Check Name,Result,Details
Contract Build: synapsepay-registry,PASS,Size: 224912 bytes
Contract Build: synapsepay-payments,PASS,Size: 348400 bytes
Contract Build: synapsepay-scheduler,PASS,Size: 277824 bytes
Overall Contract Builds,PASS,جميع العقود مبنية (3/3)
Devnet Deployment: synapsepay-registry,PASS,Program ID: 5w8vTt1AUo67nE9bWA5e9Sh28HXtJJZaqiPj53n6wcby
Devnet Deployment: synapsepay-payments,PASS,Program ID: 8yzR2Ze7t8NjH9b9wUUaUxkHLcrfogWqAzqbMSb1vZgP
Devnet Deployment: synapsepay-scheduler,PASS,Program ID: 8NWxX7CDYhpfWAG5Dd6UJQ4EU1Ykrid8CoJ48Kp8MjsY
Overall Devnet Deployment,PASS,جميع العقود منشورة (3/3)
Environment Variable: SOLANA_RPC_URL,PASS,قيمة موجودة
Environment Variable: ANCHOR_PROVIDER_URL,PASS,قيمة موجودة
Environment Variable: ANCHOR_WALLET,PASS,قيمة موجودة
Environment Setup,PASS,جميع المتغيرات المطلوبة موجودة
Tool: solana,PASS,solana-cli 3.0.13 (src:f5a29bf6; feat:3604001754, client:Agave)
Tool: anchor,PASS,anchor-cli 0.30.1
Tool: cargo,PASS,cargo 1.91.1 (ea2d97820 2025-10-10)
Tool: rustc,PASS,rustc 1.91.1 (ed61e7d7e 2025-11-07)
Tool: node,PASS,v22.14.0
Tool: npm,PASS,10.9.2
Required Tools,PASS,جميع الأدوات مثبتة
Solana RPC Connection,PASS,RPC متاح ويعمل
Solana CLI Connection,PASS,CLI متصل بالشبكة
Wallet Balance,PASS,الرصيد: 7.049365958 SOL
Report: security-summary.md,PASS,تقرير موجود
Report: build-summary.md,PASS,تقرير موجود
Report: deployment-summary.md,PASS,تقرير موجود
Report: connection-report.md,PASS,تقرير موجود
Deployment Documentation,PASS,وثائق النشر موجودة
Reports and Documentation,PASS,جميع التقارير والوثائق موجودة
